x,y,layer1_gray,layer2_gray,layer3_gray,trilayer_gray
321,725,127.31999969482422,4.0,147.52000427246094,152.72000122070312
752,499,8.960000038146973,11.600000381469727,123.95999908447266,79.0
616,52,130.9600067138672,5.0,235.67999267578125,203.44000244140625
431,172,3.0,149.0800018310547,6.0,86.63999938964844
668,308,84.19999694824219,10.15999984741211,100.0,106.36000061035156
36,938,12.239999771118164,50.68000030517578,4.0,36.7599983215332
138,3,3.0,241.9600067138672,5.559999942779541,137.24000549316406
215,927,11.039999961853027,48.400001525878906,5.079999923706055,35.36000061035156
920,142,39.880001068115234,12.119999885559082,62.84000015258789,62.7599983215332
148,987,3.7200000286102295,46.91999816894531,4.480000019073486,30.1200008392334
66,420,44.68000030517578,4.760000228881836,15.760000228881836,35.560001373291016
107,607,32.119998931884766,140.55999755859375,4.0,96.80000305175781
794,214,116.4000015258789,5.400000095367432,224.52000427246094,189.67999267578125
744,336,6.0,7.559999942779541,45.79999923706055,32.560001373291016
89,325,18.079999923706055,10.880000114440918,195.16000366210938,122.76000213623047
949,658,34.040000915527344,5.639999866485596,221.27999877929688,143.0
101,633,215.44000244140625,28.68000030517578,47.91999816894531,159.8800048828125
112,657,15.960000038146973,12.319999694824219,82.68000030517578,60.84000015258789
132,577,37.68000030517578,4.119999885559082,23.520000457763672,35.79999923706055
174,471,82.31999969482422,13.880000114440918,57.36000061035156,84.04000091552734
525,192,6.800000190734863,90.91999816894531,20.040000915527344,64.55999755859375
556,323,17.920000076293945,6.960000038146973,75.5999984741211,55.15999984741211
377,134,188.16000366210938,19.280000686645508,75.87999725341797,155.32000732421875
419,329,5.400000095367432,59.79999923706055,13.720000267028809,43.15999984741211
353,813,16.84000015258789,14.279999732971191,24.600000381469727,30.559999465942383
316,700,11.5600004196167,18.239999771118164,30.360000610351562,33.119998931884766
385,310,148.0399932861328,13.119999885559082,123.5199966430664,155.83999633789062
347,70,38.2400016784668,5.880000114440918,17.68000030517578,33.91999816894531
762,982,105.31999969482422,10.039999961853027,119.68000030517578,128.75999450683594
82,463,38.08000183105469,18.84000015258789,10.399999618530273,36.79999923706055
684,770,15.039999961853027,114.5999984741211,4.0,73.16000366210938
65,316,12.0,24.079999923706055,28.280000686645508,35.2400016784668
52,24,6.800000190734863,90.4000015258789,17.8799991607666,62.959999084472656
