x,y,layer1_gray,layer2_gray,bilayer_gray
525,477,8.4399995803833,203.36000061035156,204.8800048828125
194,865,4.0,73.27999877929688,75.08000183105469
990,153,3.0399999618530273,182.16000366210938,179.47999572753906
422,891,165.63999938964844,6.960000038146973,167.0
481,48,12.239999771118164,114.80000305175781,122.95999908447266
549,322,11.399999618530273,55.20000076293945,64.63999938964844
1014,731,143.67999267578125,19.360000610351562,157.67999267578125
96,400,10.800000190734863,58.15999984741211,66.63999938964844
442,805,5.440000057220459,100.19999694824219,102.08000183105469
329,312,4.0,128.75999450683594,128.24000549316406
806,726,128.0800018310547,10.520000457763672,134.1199951171875
863,543,4.0,172.75999450683594,170.83999633789062
895,316,3.9600000381469727,153.47999572753906,152.1199951171875
448,836,3.759999990463257,76.04000091552734,77.16000366210938
997,495,3.0,148.67999267578125,146.8800048828125
166,918,73.12000274658203,5.119999885559082,75.80000305175781
914,992,3.9600000381469727,231.24000549316406,227.24000549316406
364,197,5.599999904632568,62.52000045776367,65.87999725341797
633,162,4.679999828338623,84.5999984741211,86.27999877929688
871,202,5.0,57.84000015258789,60.84000015258789
75,134,26.799999237060547,34.91999816894531,59.560001373291016
233,487,3.880000114440918,97.4000015258789,97.91999816894531
529,133,14.880000114440918,74.4800033569336,86.5999984741211
602,231,180.52000427246094,5.760000228881836,180.1199951171875
498,49,65.23999786376953,17.399999618530273,79.87999725341797
166,804,27.760000228881836,42.47999954223633,67.91999816894531
142,559,109.16000366210938,12.479999542236328,117.5199966430664
142,976,5.400000095367432,50.2400016784668,53.7599983215332
295,201,3.240000009536743,89.36000061035156,89.76000213623047
551,112,71.83999633789062,4.039999961853027,73.31999969482422
665,148,89.87999725341797,10.399999618530273,97.04000091552734
164,812,16.760000228881836,74.31999969482422,88.04000091552734
191,373,3.119999885559082,101.5999984741211,101.4800033569336
512,154,7.480000019073486,165.72000122070312,167.67999267578125
755,387,4.079999923706055,159.0800018310547,158.1199951171875
331,658,3.119999885559082,110.04000091552734,109.76000213623047
12,399,5.199999809265137,112.12000274658203,113.44000244140625
673,486,64.4000015258789,12.760000228881836,74.5999984741211
648,629,122.4000015258789,8.399999618530273,126.4800033569336
372,294,100.91999816894531,8.319999694824219,105.72000122070312
384,786,129.8800048828125,3.0,128.75999450683594
938,219,10.720000267028809,208.0,211.44000244140625
678,228,8.920000076293945,110.36000061035156,115.27999877929688
10,230,13.0,55.31999969482422,66.19999694824219
846,474,104.5199966430664,12.84000015258789,113.55999755859375
542,244,63.959999084472656,8.5600004196167,70.19999694824219
211,888,17.440000534057617,78.36000061035156,92.80000305175781
559,908,32.560001373291016,24.360000610351562,54.959999084472656
779,701,3.9600000381469727,50.15999984741211,52.0
118,954,51.47999954223633,3.0399999618530273,53.08000183105469
93,61,10.359999656677246,89.5999984741211,96.4800033569336
1005,737,241.47999572753906,7.71999979019165,241.0399932861328
733,888,78.16000366210938,27.959999084472656,102.55999755859375
762,636,222.75999450683594,7.920000076293945,223.1999969482422
867,909,5.760000228881836,51.52000045776367,55.439998626708984
206,969,247.36000061035156,8.640000343322754,247.67999267578125
258,67,93.5999984741211,17.8799991607666,107.83999633789062
785,978,85.27999877929688,41.7599983215332,122.91999816894531
633,37,18.1200008392334,37.2400016784668,53.36000061035156
694,480,27.600000381469727,114.5199966430664,137.55999755859375
930,568,43.720001220703125,35.84000015258789,76.91999816894531
150,73,70.63999938964844,3.5199999809265137,71.76000213623047
1012,487,6.519999980926514,156.1199951171875,157.24000549316406
831,961,44.599998474121094,14.5600004196167,57.47999954223633
76,717,41.560001373291016,46.119998931884766,84.76000213623047
115,225,10.079999923706055,117.4000015258789,123.4000015258789
57,889,158.83999633789062,4.0,157.52000427246094
894,302,4.519999980926514,65.68000030517578,67.91999816894531
164,314,8.800000190734863,135.55999755859375,139.67999267578125
308,880,5.239999771118164,143.44000244140625,143.8000030517578
845,738,19.600000381469727,41.880001068115234,59.279998779296875
38,393,54.400001525878906,25.479999542236328,77.4800033569336
68,910,59.63999938964844,4.0,61.599998474121094
722,58,58.400001525878906,6.840000152587891,63.0
402,309,68.63999938964844,48.560001373291016,113.36000061035156
451,481,11.760000228881836,103.19999694824219,111.0
291,214,4.0,237.32000732421875,233.44000244140625
720,390,100.12000274658203,5.159999847412109,101.72000122070312
